sym0,sym1,sym2,sym3,sym4,sym5,sym6,sym7
R2850806,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R2850806,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R2850806,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460161,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317161
R897681,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317162
R897686,R0,R2538911,R582782,R2444687,R116561,R2460786,R4317162
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4707786
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317162
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R0,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R582782,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R582782,R2444687,R116561,R2460161,R4317162
R897686,R1,R2538906,R582782,R2444687,R116561,R2460161,R4317162
R897686,R1,R2538906,R582782,R2444687,R116561,R2460161,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897811,R1,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R897686,R1,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R1,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R897811,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898436,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898436,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898436,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897686,R2,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R897811,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898311,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897811,R2,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R897811,R2,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R897811,R2,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R897811,R2,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R897686,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R897811,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R897811,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317161
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898436,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898436,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898436,R2,R2538931,R567157,R2444687,R116561,R2460161,R4317162
R898311,R2,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R898436,R2,R2538931,R567157,R2444687,R116561,R2460811,R4317161
R898436,R2,R2538931,R567157,R2444687,R116561,R2460811,R4317162
R898436,R12,R2538931,R567157,R2444687,R116561,R2460811,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460811,R4317162
R898436,R12,R2538931,R567157,R2444687,R116561,R2460811,R4317162
R898436,R12,R2538931,R567157,R2444687,R116561,R2460161,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R12,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898311,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R12,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898311,R12,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898311,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R13,R2538906,R567157,R2444687,R116561,R2460161,R4317162
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317162
R898436,R13,R2538931,R567157,R2444687,R116561,R2460786,R4317162
R898436,R13,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538931,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444687,R116561,R2460786,R4317161
R898436,R13,R2538906,R567157,R2444662,R116561,R2460186,R4317157
R895307,R13,R2538931,R567032,R2444662,R116561,R2850960,R4317157
R2851532,R3,R4489061,R582657,R4394662,R504036,R2932185,R4332787
R2839033,R3,R4488561,R582657,R4394533,R519031,R5275965,R4723513
R4792133,R3,R6426061,R582657,R4472683,R909780,R5354065,R6676638
R4792879,R4,R6426061,R585782,R4472684,R925380,R5747840,R6676639
R4702254,R4,R6423061,R585782,R4470059,R1316000,R7717186,R6676644
R4702254,R4,R8375586,R585782,R4470059,R1316000,R7717186,R6676644
R6655379,R4,R8375586,R585652,R4454434,R1316000,R7795311,R6676644
R6655379,R4,R7984961,R585652,R4454434,R1316000,R7795186,R6676799
R6655379,R4,R7984961,R585652,R4454434,R1316000,R7795161,R6676799
R4702254,R104,R7984961,R585777,R4454439,R1316000,R7795186,R6676794
R4702254,R104,R6423061,R585777,R4473189,R925380,R5748311,R6676669
R4792283,R104,R6426061,R585777,R4472688,R910405,R5354561,R6754793
R2839033,R114,R4472936,R582652,R2519563,R910405,R5354561,R6676663
R2839033,R114,R4472936,R582657,R2519563,R522780,R4885811,R6661038
R2835908,R113,R4488436,R582657,R2519563,R522781,R2932686,R4707912
R2835907,R113,R4489061,R582657,R2441437,R507156,R2932686,R4786037
R2851532,R113,R2535936,R582657,R2441437,R507181,R2932686,R4785912
R2851557,R113,R2535936,R582657,R2441437,R116556,R2538936,R4395287
R898432,R113,R2535936,R582657,R2441437,R116561,R2538936,R4317162
R898432,R113,R2535936,R582657,R2444687,R116561,R2460186,R4395287
R898432,R113,R2535936,R582657,R2444687,R116561,R2460811,R4395287
R898432,R113,R2539056,R582657,R2444687,R116561,R2460186,R4395287
R895307,R113,R2539056,R582657,R2444687,R116561,R2460186,R4395287
R895307,R113,R2539056,R582657,R2444687,R116561,R2460186,R4317162
R895307,R113,R2538931,R567032,R2444687,R116561,R2460186,R4317162
R895307,R114,R2538931,R567032,R2444687,R116561,R2460186,R4317162
R895307,R114,R2538931,R582782,R2444687,R116561,R2460186,R4317162
R895312,R114,R2538931,R567157,R2444687,R116561,R2460186,R4395306
R895312,R114,R2538931,R567157,R2444687,R116561,R2460186,R4317162
R895307,R114,R2538931,R567157,R2444687,R116561,R2460186,R4317162
