0,1,2,3,4,5,6,7,8
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAC,AAC,AAA,AAC,AAC,AAC,AAB,AAA,AAC
ACC,ACC,AAA,ACA,ACB,ACA,ABC,AAA,ACC
CCC,CCC,AAA,CAA,CBA,CAA,BCB,AAA,CCB
CCC,CCC,AAA,AAA,BAA,AAA,CBC,AAA,CBC
CCC,CCC,AAA,AAA,AAB,AAB,BCB,AAA,BCC
CCC,CCC,AAA,AAA,ABA,ABA,CBB,AAA,CCC
CCC,CCC,AAA,AAA,BAB,BAB,BBB,AAA,CCC
CCC,CCC,AAA,AAA,ABB,ABB,BBB,AAA,CCC
CCC,CCC,AAA,AAB,BBB,BBB,BBB,AAA,CCC
CCC,CCC,AAB,ABB,BBC,BBC,BBA,AAB,CCC
CCC,CCC,ABB,BBB,BCB,BCC,BAA,ABC,CCC
CCC,CCC,BBA,BBA,CBB,CCC,AAA,BCB,CCB
CCC,CCC,BAA,BAB,BBB,CCC,AAB,CBB,CBB
CCC,CCC,AAA,ABB,BBB,CCC,ABB,BBC,BBB
CCC,CCC,AAA,BBC,BBB,CCC,BBB,BCC,BBC
CCC,CCC,AAB,BCC,BBC,CCB,BBB,CCB,BCB
CCC,CCC,ABB,CCB,BCC,CBB,BBB,CBB,CBB
CCB,CCC,BBB,CBC,CCC,BBC,BBA,BBB,BBB
CBC,CCC,BBA,BCC,CCB,BCA,BAA,BBB,BBC
BCC,CCC,BAA,CCB,CBB,CAA,AAB,BBB,BCC
CCC,CCC,AAA,CBC,BBB,AAA,ABB,BBC,CCC
CCC,CCC,AAB,BCC,BBC,AAA,BBB,BCC,CCC
CCC,CCC,ABB,CCC,BCB,AAA,BBB,CCC,CCB
CCC,CCC,BBB,CCC,CBB,AAA,BBB,CCC,CBB
CCB,CCC,BBB,CCC,BBB,AAB,BBA,CCB,BBC
CBB,CCC,BBB,CCB,BBC,ABB,BAB,CBB,BCC
BBB,CCC,BBB,CBB,BCA,BBA,ABB,BBB,CCC
BBB,CCC,BBA,BBB,CAC,BAA,BBB,BBB,CCB
BBB,CCC,BAA,BBB,ACC,AAA,BBB,BBA,CBB
BBB,CCC,AAB,BBC,CCC,AAB,BBC,BAA,BBA
BBB,CCC,ABC,BCC,CCB,ABB,BCC,AAC,BAB
BBC,CCC,BCB,CCC,CBB,BBB,CCC,ACB,ABA
BCC,CCC,CBB,CCB,BBB,BBA,CCB,CBB,BAB
CCB,CCC,BBB,CBC,BBC,BAA,CBB,BBB,ABC
CBC,CCC,BBB,BCA,BCB,AAA,BBB,BBC,BCB
BCC,CCC,BBA,CAA,CBC,AAA,BBB,BCB,CBB
CCC,CCC,BAA,AAB,BCC,AAA,BBB,CBB,BBA
CCB,CCC,AAB,ABC,CCA,AAA,BBB,BBB,BAA
CBB,CCC,ABB,BCB,CAB,AAB,BBB,BBB,AAA
BBB,CCC,BBB,CBC,ABA,ABB,BBB,BBC,AAB
BBB,CCC,BBB,BCC,BAB,BBB,BBB,BCC,ABB
BBA,CCC,BBC,CCB,ABA,BBB,BBC,CCC,BBB
BAB,CCC,BCC,CBC,BAB,BBB,BCB,CCC,BBB
ABA,CCC,CCB,BCC,ABC,BBC,CBC,CCB,BBB
BAA,CCC,CBC,CCC,BCC,BCB,BCC,CBB,BBB
AAB,CCC,BCB,CCC,CCC,CBB,CCB,BBA,BBB
ABB,CCC,CBB,CCB,CCC,BBC,CBC,BAA,BBB
BBB,CCC,BBA,CBA,CCB,BCC,BCC,AAA,BBB
BBB,CCC,BAA,BAA,CBB,CCC,CCC,AAA,BBB
BBB,CCC,AAB,AAA,BBB,CCC,CCC,AAB,BBA
BBC,CCC,ABA,AAA,BBB,CCB,CCC,ABB,BAA
BCB,CCC,BAA,AAB,BBB,CBC,CCC,BBB,AAC
CBB,CCC,AAA,ABC,BBB,BCB,CCB,BBA,ACC
BBB,CCC,AAA,BCB,BBB,CBA,CBB,BAB,CCB
BBC,CCC,AAA,CBB,BBB,BAA,BBC,ABB,CBC
BCB,CCC,AAB,BBB,BBB,AAA,BCC,BBA,BCB
CBA,CCC,ABC,BBB,BBB,AAB,CCB,BAB,CBB
BAA,CCC,BCC,BBB,BBC,ABB,CBB,ABA,BBB
