0,1,2,3,4,5,6,7,8
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAB,AAC,AAA,AAA,AAC,AAA,AAA,AAA,AAA
ABC,ACC,AAB,AAA,ACC,AAA,AAA,AAA,AAA
BCC,CCC,ABA,AAA,CCC,AAA,AAA,AAA,AAA
CCC,CCC,BAA,AAA,CCC,AAA,AAB,AAA,AAC
CCB,CCC,AAA,AAA,CCC,AAB,ABB,AAA,ACC
CBB,CCC,AAA,AAA,CCB,ABB,BBA,AAC,CCC
BBB,CCC,AAB,AAA,CBB,BBC,BAA,ACC,CCC
BBB,CCC,ABA,AAA,BBB,BCB,AAA,CCC,CCC
BBB,CCC,BAA,AAA,BBB,CBB,AAA,CCC,CCC
BBC,CCC,AAA,AAA,BBB,BBB,AAB,CCC,CCC
BCC,CCC,AAA,AAA,BBB,BBB,ABB,CCB,CCC
CCC,CCC,AAA,AAA,BBB,BBB,BBB,CBB,CCC
CCC,CCC,AAB,AAA,BBA,BBB,BBC,BBB,CCB
CCB,CCC,ABB,AAA,BAB,BBB,BCC,BBB,CBB
CBB,CCC,BBB,AAB,ABA,BBB,CCC,BBB,BBC
BBB,CCC,BBB,ABB,BAC,BBB,CCC,BBA,BCA
BBC,CCC,BBB,BBB,ACC,BBA,CCC,BAA,CAB
BCC,CCC,BBC,BBB,CCB,BAA,CCB,AAA,ABB
CCC,CCC,BCB,BBB,CBB,AAA,CBA,AAB,BBB
CCC,CCC,CBB,BBB,BBB,AAA,BAA,ABB,BBB
CCB,CCC,BBC,BBB,BBC,AAA,AAA,BBB,BBB
CBB,CCC,BCB,BBB,BCB,AAA,AAA,BBC,BBB
BBC,CCC,CBB,BBB,CBA,AAA,AAB,BCC,BBB
BCC,CCC,BBA,BBC,BAA,AAB,ABC,CCC,BBA
CCC,CCC,BAA,BCB,AAA,ABB,BCB,CCC,BAB
CCC,CCC,AAA,CBC,AAA,BBB,CBC,CCC,ABB
CCC,CCC,AAA,BCC,AAA,BBB,BCB,CCB,BBB
CCC,CCC,AAA,CCB,AAA,BBB,CBB,CBA,BBA
CCC,CCC,AAA,CBC,AAB,BBA,BBB,BAA,BAA
CCC,CCC,AAA,BCC,ABB,BAB,BBB,AAA,AAA
CCB,CCC,AAB,CCC,BBB,ABA,BBC,AAA,AAB
CBB,CCC,ABB,CCC,BBB,BAA,BCC,AAA,ABB
BBC,CCC,BBA,CCA,BBB,AAA,CCC,AAB,BBB
BCB,CCC,BAB,CAA,BBB,AAA,CCB,ABB,BBC
CBB,CCC,ABB,AAA,BBB,AAB,CBB,BBB,BCC
BBC,CCC,BBC,AAA,BBC,ABB,BBB,BBB,CCA
BCC,CCC,BCC,AAB,BCC,BBB,BBB,BBB,CAB
CCC,CCC,CCC,ABB,CCC,BBC,BBB,BBC,ABB
CCC,CCC,CCC,BBB,CCB,BCC,BBB,BCC,BBB
CCB,CCC,CCB,BBB,CBC,CCC,BBC,CCB,BBB
CBB,CCC,CBB,BBA,BCC,CCC,BCC,CBB,BBB
BBB,CCC,BBB,BAA,CCC,CCB,CCC,BBC,BBC
BBB,CCC,BBB,AAA,CCB,CBB,CCC,BCC,BCC
BBB,CCC,BBC,AAB,CBB,BBB,CCC,CCB,CCC
BBB,CCC,BCB,ABB,BBB,BBC,CCC,CBB,CCC
BBA,CCC,CBB,BBB,BBB,BCC,CCC,BBB,CCC
BAA,CCC,BBC,BBB,BBB,CCC,CCA,BBB,CCC
AAA,CCC,BCC,BBB,BBB,CCB,CAA,BBB,CCB
AAB,CCC,CCC,BBB,BBC,CBB,AAA,BBB,CBB
ABB,CCC,CCC,BBB,BCC,BBC,AAA,BBB,BBB
BBC,CCC,CCB,BBB,CCC,BCC,AAA,BBB,BBB
BCC,CCC,CBA,BBC,CCB,CCC,AAA,BBB,BBA
CCC,CCC,BAA,BCC,CBB,CCB,AAB,BBB,BAA
CCB,CCC,AAB,CCA,BBB,CBA,ABB,BBC,AAB
CBC,CCC,ABA,CAA,BBB,BAA,BBB,BCB,ABC
BCC,CCC,BAB,AAB,BBB,AAA,BBB,CBB,BCB
CCB,CCC,ABC,ABB,BBB,AAB,BBB,BBB,CBB
CBB,CCC,BCB,BBC,BBB,ABC,BBB,BBB,BBB
