sym0,sym1,sym2,sym3,sym4,sym5,sym6
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R30,R23434,R348187,R159315,R582062,R2522556
R75531,R30,R23434,R348187,R159315,R582062,R2522556
R75531,R30,R23434,R348187,R159315,R582062,R2522556
R75531,R30,R23434,R348187,R159315,R582062,R2522556
R75531,R30,R23434,R348187,R156914,R582062,R2522556
R75531,R20,R23434,R348187,R156914,R582062,R2522556
R75531,R20,R23434,R348187,R156914,R582062,R2522556
R75531,R20,R23434,R348187,R156914,R582062,R2522556
R75531,R20,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R159315,R582062,R2522556
R75531,R21,R23434,R348187,R159315,R582062,R2522556
R75531,R21,R23434,R348187,R159315,R582062,R2522556
R75531,R21,R23434,R348187,R159315,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R21,R23434,R348187,R156914,R582062,R2522556
R75531,R121,R23434,R348187,R156914,R582062,R2522556
R75531,R121,R23434,R348187,R159315,R582062,R2522556
R75531,R121,R23434,R348187,R159315,R582062,R2522556
R75531,R121,R23434,R348187,R159315,R582062,R2522556
R75531,R121,R23434,R348187,R159315,R582062,R2522556
R75531,R121,R23434,R348187,R156914,R582062,R2522556
R75019,R121,R23435,R348312,R157208,R581562,R2506931
R74954,R131,R23436,R738312,R157216,R503437,R2510181
R74954,R131,R23536,R735307,R157168,R500437,R2510306
R70849,R131,R23537,R735307,R154767,R2453562,R2510306
R70337,R131,R23528,R734807,R154768,R2453687,R2513556
R70337,R131,R23528,R734807,R154719,R2453687,R2435431
R70336,R131,R23528,R734932,R154720,R2453687,R2435556
R70336,R131,R23529,R734932,R154727,R2453687,R2435581
R70336,R132,R23529,R734932,R154727,R2375561,R2435581
R70336,R132,R23529,R734932,R154727,R2375562,R2435581
R70336,R132,R23529,R734932,R152326,R2375562,R2435581
R70336,R131,R23529,R734927,R154727,R2453687,R2435581
R70336,R131,R23529,R734927,R154727,R2438062,R2435581
R70337,R131,R23529,R734932,R154720,R2438062,R2435581
R70849,R131,R23528,R734807,R154719,R2437937,R2513581
R70849,R131,R23427,R734807,R154767,R484812,R2510431
R70858,R121,R23437,R657182,R157168,R500437,R2510309
R74954,R121,R23436,R657182,R157168,R500312,R2510341
R74954,R121,R23436,R657182,R157216,R503437,R2510181
R74954,R121,R23436,R657182,R157216,R581562,R2510181
R74954,R121,R23436,R657182,R157216,R582187,R2510181
R74955,R121,R23435,R660307,R157209,R582187,R2510181
R74955,R121,R23435,R660182,R157209,R582062,R2510181
R74955,R121,R23435,R660187,R157208,R582062,R2507056
R74955,R121,R23435,R660187,R157208,R582062,R2507056
R74955,R121,R23435,R660187,R157208,R582062,R2507056
R75019,R121,R23435,R660187,R156865,R582062,R2506931
R75531,R122,R23434,R269562,R156865,R582062,R2506931
R75531,R122,R23434,R269562,R156865,R582062,R2506931
R75531,R122,R23434,R269562,R156865,R582062,R2506931
R75531,R122,R23434,R269562,R156865,R582062,R2523184
R75531,R122,R23434,R270187,R156865,R582062,R2522556
R75531,R122,R23434,R270187,R156865,R582062,R2522556
R75531,R122,R23434,R270187,R156865,R582062,R2522556
R75531,R122,R23434,R254562,R156914,R582062,R2522556
R75531,R122,R23434,R254562,R156914,R582062,R2522556
R75531,R122,R23434,R254562,R156914,R582062,R2522556
R75531,R122,R23434,R254562,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2506931
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2523184
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R122,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176437,R156914,R582062,R2522556
R75531,R112,R23434,R176436,R156914,R582062,R2522556
R75476,R112,R23534,R176436,R156914,R582062,R2523181
R42708,R112,R23534,R176437,R39215,R582662,R2523181
R42707,R112,R23534,R176437,R39222,R582661,R2445056
R42707,R112,R13624,R176462,R39229,R583286,R488956
R46803,R112,R13624,R176587,R39229,R583286,R879581
R14042,R112,R14614,R177217,R39235,R583911,R878956
R14042,R112,R4614,R177217,R38892,R583911,R875831
R14554,R113,R4614,R177217,R38892,R583912,R875831
R14553,R213,R4614,R177242,R38899,R580787,R875831
R14553,R213,R4614,R177367,R38899,R580787,R875956
R14553,R213,R4604,R177367,R36498,R565162,R875956
R14561,R213,R4604,R177368,R36498,R565162,R875956
R14553,R213,R4604,R177367,R36498,R565162,R875956
R14040,R213,R4504,R177372,R36498,R565162,R875956
R14040,R213,R4504,R177372,R39242,R568312,R953456
R9945,R213,R4504,R177217,R39235,R567687,R953306
R10009,R213,R14414,R177217,R39235,R583312,R953956
R42714,R213,R14514,R177217,R39236,R567687,R957059
R42770,R213,R14424,R176592,R39229,R582687,R566431
R42770,R213,R14424,R176592,R39229,R582687,R566431
R42770,R213,R13424,R176442,R39229,R582687,R566431
R42770,R213,R23424,R176437,R39222,R582687,R2519431
R42770,R213,R23424,R176436,R39222,R582062,R2519431
R42771,R213,R23424,R176436,R39222,R582062,R2519434
R42771,R213,R23424,R176436,R39271,R582062,R2522556
R75539,R213,R23424,R176436,R39271,R582062,R2522556
R75539,R213,R23434,R176436,R39271,R582062,R2522556
R75539,R213,R23434,R176436,R39271,R582062,R2522556
R75539,R213,R23434,R176436,R39271,R582062,R2522556
R75539,R213,R23434,R176436,R39265,R582062,R2522556
R75539,R213,R23434,R176436,R39265,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2523191
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75539,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75531,R213,R23434,R176436,R156914,R582062,R2522556
R75475,R213,R23434,R567036,R157264,R582062,R2523181
R75539,R214,R23533,R567036,R157264,R569562,R2523181
R71963,R214,R23533,R488906,R157313,R569535,R2523282
R72475,R214,R23533,R486406,R157313,R2447660,R2520759
R72483,R214,R23432,R486531,R274668,R2447660,R2520759
R72995,R214,R23431,R486502,R272268,R2432036,R2520757
R72995,R225,R23431,R487127,R272275,R2435286,R2520756
R73515,R225,R23431,R565252,R389630,R2435286,R2521506
R73515,R225,R23430,R487127,R389630,R2825911,R2521506
R73515,R225,R23430,R487127,R389631,R2825911,R2521506
R73515,R225,R23430,R487127,R389631,R2825911,R2521506
R73515,R225,R23430,R487127,R389631,R2825936,R2521506
R73515,R225,R23430,R487127,R389631,R2825937,R2521506
R73515,R225,R23430,R502752,R389281,R2825937,R2521506
R73508,R225,R23430,R487127,R389281,R2825937,R2505881
R72996,R225,R23420,R487127,R389281,R2825963,R2505756
R72988,R215,R23320,R487127,R389232,R2825963,R2505883
R72476,R215,R23421,R486502,R271583,R2822838,R2505781
R72476,R215,R23431,R489527,R271575,R2432088,R2505156
R72476,R214,R23432,R489532,R271869,R2510187,R2505156
R71956,R214,R23432,R489532,R274270,R2507062,R2508281
R71956,R214,R23432,R489532,R156621,R2522687,R2508156
R71956,R214,R23433,R489532,R156621,R569562,R2507531
R76052,R214,R23433,R488907,R156571,R569562,R2507531
R76052,R314,R23433,R488907,R156914,R569562,R2523181
R75540,R314,R23433,R488906,R156914,R569562,R2523181
R75540,R314,R23433,R488906,R156914,R569562,R2523181
