0,1,2,3,4,5,6,7
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAC,AAB,AAB,AAA,AAA,AAA,AAB
AAB,ACC,ABB,ABB,AAB,AAA,AAB,ABB
ABB,CCC,BBB,BBB,ABB,AAB,ABB,BBB
BBB,CCC,BBB,BBB,BBB,ABA,BBC,BBB
BBB,CCC,BBA,BBB,BBB,BAB,BCA,BBB
BBB,CCC,BAA,BBB,BBB,ABA,CAA,BBB
BBB,CCC,AAA,BBB,BBB,BAA,AAC,BBB
BBC,CCC,AAB,BBB,BBC,AAA,ACB,BBB
BCB,CCC,ABB,BBB,BCB,AAA,CBC,BBB
CBB,CCC,BBB,BBB,CBB,AAA,BCC,BBB
BBB,CCC,BBB,BBB,BBB,AAA,CCB,BBB
BBB,CCC,BBB,BBB,BBB,AAA,CBB,BBB
BBC,CCC,BBB,BBB,BBC,AAC,BBB,BBB
BCC,CCC,BBB,BBB,BCC,ACB,BBB,BBB
CCB,CCC,BBA,BBA,CCC,CBB,BBB,BBB
CBB,CCC,BAA,BAA,CCB,BBB,BBA,BBC
BBB,CCC,AAB,AAA,CBC,BBB,BAB,BCB
BBC,CCC,ABB,AAB,BCC,BBC,ABC,CBA
BCB,CCC,BBB,ABB,CCC,BCB,BCB,BAA
CBB,CCC,BBB,BBC,CCC,CBB,CBB,AAB
BBB,CCC,BBB,BCC,CCC,BBC,BBA,ABB
BBB,CCC,BBB,CCB,CCC,BCC,BAB,BBB
BBB,CCC,BBC,CBA,CCB,CCB,ABC,BBB
BBB,CCC,BCC,BAA,CBB,CBA,BCC,BBC
BBA,CCC,CCC,AAB,BBB,BAA,CCC,BCC
BAB,CCC,CCC,ABB,BBB,AAB,CCA,CCC
ABB,CCC,CCC,BBA,BBA,ABB,CAB,CCB
BBC,CCC,CCC,BAA,BAB,BBB,ABC,CBC
BCC,CCC,CCB,AAA,ABA,BBA,BCC,BCC
CCC,CCC,CBB,AAA,BAA,BAB,CCA,CCB
CCC,CCC,BBB,AAA,AAA,ABA,CAB,CBC
CCC,CCC,BBB,AAB,AAA,BAA,ABC,BCC
CCB,CCC,BBA,ABB,AAA,AAA,BCB,CCC
CBC,CCC,BAA,BBB,AAB,AAA,CBB,CCC
BCC,CCC,AAA,BBB,ABB,AAB,BBA,CCC
CCB,CCC,AAB,BBB,BBB,ABB,BAB,CCC
CBC,CCC,ABB,BBC,BBA,BBB,ABA,CCB
BCC,CCC,BBA,BCC,BAB,BBC,BAB,CBC
CCB,CCC,BAB,CCC,ABB,BCB,ABB,BCB
CBB,CCC,ABA,CCC,BBB,CBB,BBB,CBB
BBA,CCC,BAA,CCB,BBB,BBB,BBB,BBB
BAA,CCC,AAA,CBA,BBC,BBB,BBB,BBA
AAB,CCC,AAB,BAA,BCB,BBC,BBB,BAA
ABA,CCC,ABB,AAA,CBB,BCC,BBA,AAB
BAA,CCC,BBA,AAB,BBB,CCC,BAB,ABB
AAB,CCC,BAB,ABB,BBC,CCC,ABA,BBB
ABA,CCC,ABB,BBB,BCC,CCB,BAA,BBA
BAA,CCC,BBB,BBC,CCB,CBB,AAB,BAB
AAB,CCC,BBB,BCC,CBA,BBA,ABA,ABB
ABC,CCC,BBC,CCB,BAA,BAB,BAA,BBA
BCC,CCC,BCC,CBB,AAA,ABA,AAB,BAA
CCB,CCC,CCC,BBC,AAC,BAA,ABB,AAA
CBB,CCC,CCC,BCC,ACB,AAB,BBC,AAA
BBC,CCC,CCC,CCC,CBB,ABB,BCC,AAB
BCC,CCC,CCC,CCB,BBB,BBB,CCC,ABB
CCC,CCC,CCC,CBA,BBB,BBB,CCC,BBB
CCC,CCC,CCB,BAB,BBB,BBC,CCB,BBB
CCB,CCC,CBB,ABB,BBC,BCC,CBB,BBC
CBA,CCC,BBB,BBC,BCC,CCC,BBB,BCC
BAA,CCC,BBB,BCC,CCC,CCC,BBB,CCB
AAA,CCC,BBC,CCB,CCC,CCC,BBB,CBA
AAA,CCC,BCC,CBB,CCB,CCB,BBB,BAA
AAA,CCC,CCB,BBB,CBB,CBB,BBA,AAA
AAA,CCC,CBC,BBC,BBC,BBB,BAB,AAA
AAA,CCC,BCC,BCC,BCB,BBB,ABB,AAB
AAA,CCC,CCB,CCC,CBC,BBC,BBB,ABB
AAB,CCC,CBB,CCC,BCC,BCB,BBB,BBB
ABA,CCC,BBB,CCB,CCC,CBB,BBB,BBB
BAA,CCC,BBB,CBB,CCB,BBB,BBB,BBB
AAB,CCC,BBB,BBB,CBC,BBA,BBB,BBB
ABA,CCC,BBB,BBA,BCB,BAA,BBC,BBB
BAB,CCC,BBB,BAB,CBB,AAA,BCC,BBC
ABB,CCC,BBB,ABA,BBB,AAA,CCC,BCC
BBC,CCC,BBA,BAB,BBB,AAA,CCA,CCA
BCC,CCC,BAA,ABA,BBA,AAA,CAA,CAA
CCB,CCC,AAA,BAA,BAA,AAA,AAA,AAA
CBA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
BAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,AAA
AAA,CCC,AAA,AAA,AAA,AAB,AAA,AAA
AAB,CCC,AAA,AAA,AAA,ABB,AAA,AAA
ABB,CCC,AAB,AAB,AAB,BBB,AAB,AAB
BBB,CCC,ABB,ABB,ABB,BBB,ABB,ABB
BBB,CCC,BBB,BBB,BBB,BBC,BBC,BBB
BBC,CCC,BBC,BBC,BBC,BCC,BCC,BBC
BCC,CCC,BCC,BCC,BCC,CCC,CCC,BCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCB,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CBC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,BCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCB,CCC
CCB,CCC,CCC,CCC,CCC,CCC,CBC,CCC
CBC,CCC,CCC,CCC,CCC,CCC,BCB,CCC
BCC,CCC,CCC,CCC,CCC,CCC,CBB,CCC
CCC,CCC,CCC,CCC,CCC,CCC,BBB,CCC
CCC,CCC,CCC,CCC,CCC,CCC,BBB,CCC
CCC,CCC,CCC,CCC,CCC,CCC,BBC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,BCB,CCC
CCC,CCC,CCC,CCC,CCB,CCC,CBB,CCC
CCC,CCC,CCC,CCC,CBC,CCC,BBB,CCC
