0,1,2,3,4,5,6,7
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAC,AAB,AAC,AAA,AAA,AAA,AAA
AAB,ACC,ABB,ACB,AAB,AAB,AAA,AAB
ABB,CCC,BBB,CBB,ABA,ABA,AAA,ABB
BBB,CCC,BBB,BBB,BAB,BAB,AAA,BBB
BBB,CCC,BBB,BBB,ABB,ABC,AAA,BBB
BBB,CCC,BBB,BBB,BBB,BCC,AAA,BBB
BBB,CCC,BBB,BBB,BBA,CCC,AAB,BBB
BBC,CCC,BBB,BBB,BAA,CCB,ABB,BBB
BCC,CCC,BBA,BBB,AAA,CBB,BBB,BBB
CCC,CCC,BAA,BBB,AAA,BBB,BBB,BBA
CCC,CCC,AAA,BBC,AAB,BBB,BBA,BAA
CCC,CCC,AAB,BCB,ABB,BBB,BAB,AAA
CCC,CCC,ABB,CBA,BBA,BBB,ABB,AAA
CCB,CCC,BBB,BAA,BAA,BBB,BBB,AAA
CBA,CCC,BBA,AAA,AAB,BBC,BBA,AAB
BAB,CCC,BAB,AAB,ABC,BCC,BAA,ABB
ABB,CCC,ABC,ABB,BCC,CCB,AAA,BBC
BBB,CCC,BCC,BBB,CCC,CBB,AAB,BCC
BBB,CCC,CCC,BBB,CCC,BBB,ABB,CCB
BBA,CCC,CCB,BBB,CCC,BBA,BBB,CBB
BAA,CCC,CBC,BBB,CCB,BAA,BBA,BBC
AAA,CCC,BCC,BBA,CBB,AAA,BAC,BCC
AAA,CCC,CCA,BAB,BBB,AAA,ACB,CCB
AAB,CCC,CAA,ABB,BBB,AAA,CBB,CBA
ABB,CCC,AAB,BBB,BBC,AAA,BBA,BAA
BBB,CCC,ABA,BBC,BCB,AAA,BAC,AAB
BBB,CCC,BAB,BCC,CBB,AAA,ACC,ABB
BBC,CCC,ABB,CCA,BBC,AAA,CCC,BBB
BCB,CCC,BBB,CAA,BCC,AAB,CCC,BBB
CBB,CCC,BBC,AAA,CCB,ABC,CCB,BBA
BBB,CCC,BCB,AAA,CBB,BCC,CBB,BAB
BBB,CCC,CBB,AAB,BBA,CCC,BBB,ABC
BBB,CCC,BBB,ABB,BAA,CCC,BBB,BCB
BBB,CCC,BBB,BBB,AAB,CCC,BBB,CBB
BBB,CCC,BBB,BBB,ABA,CCC,BBA,BBC
BBB,CCC,BBA,BBB,BAA,CCB,BAA,BCB
BBB,CCC,BAB,BBB,AAA,CBB,AAB,CBC
BBB,CCC,ABB,BBB,AAB,BBA,ABB,BCB
BBB,CCC,BBA,BBB,ABB,BAA,BBB,CBB
BBB,CCC,BAB,BBC,BBB,AAB,BBB,BBC
BBB,CCC,ABB,BCC,BBB,ABB,BBB,BCA
BBB,CCC,BBC,CCB,BBB,BBB,BBA,CAB
BBA,CCC,BCC,CBB,BBB,BBA,BAA,ABB
BAA,CCC,CCC,BBC,BBA,BAA,AAA,BBB
AAB,CCC,CCB,BCC,BAB,AAC,AAA,BBB
ABA,CCC,CBA,CCC,ABB,ACC,AAA,BBB
BAA,CCC,BAA,CCC,BBB,CCC,AAA,BBA
AAC,CCC,AAB,CCB,BBC,CCC,AAB,BAA
ACC,CCC,ABB,CBB,BCC,CCB,ABB,AAB
CCC,CCC,BBB,BBA,CCB,CBB,BBB,ABB
CCC,CCC,BBB,BAB,CBB,BBB,BBB,BBA
CCC,CCC,BBB,ABA,BBB,BBB,BBC,BAB
CCB,CCC,BBC,BAB,BBA,BBB,BCC,ABC
CBC,CCC,BCC,ABC,BAB,BBB,CCC,BCB
BCB,CCC,CCC,BCB,ABB,BBB,CCC,CBA
CBB,CCC,CCC,CBB,BBB,BBA,CCC,BAC
BBB,CCC,CCB,BBB,BBC,BAA,CCC,ACB
BBB,CCC,CBB,BBB,BCB,AAA,CCC,CBC
BBC,CCC,BBB,BBB,CBB,AAB,CCC,BCB
BCB,CCC,BBB,BBB,BBC,ABB,CCC,CBC
CBB,CCC,BBB,BBB,BCB,BBB,CCB,BCA
BBC,CCC,BBB,BBB,CBB,BBB,CBB,CAA
BCC,CCC,BBA,BBA,BBB,BBB,BBA,AAA
CCB,CCC,BAB,BAB,BBB,BBB,BAA,AAB
CBB,CCC,ABB,ABB,BBB,BBB,AAA,ABC
BBB,CCC,BBB,BBB,BBC,BBB,AAA,BCC
BBA,CCC,BBB,BBB,BCB,BBB,AAA,CCB
BAB,CCC,BBC,BBC,CBA,BBB,AAB,CBB
ABA,CCC,BCA,BCB,BAA,BBA,ABB,BBB
BAA,CCC,CAB,CBB,AAC,BAA,BBB,BBB
AAA,CCC,ABB,BBB,ACC,AAA,BBB,BBC
AAA,CCC,BBA,BBB,CCB,AAA,BBB,BCC
AAA,CCC,BAB,BBB,CBC,AAB,BBC,CCB
AAA,CCC,ABA,BBC,BCA,ABA,BCB,CBA
AAA,CCC,BAA,BCA,CAA,BAA,CBA,BAB
AAA,CCC,AAA,CAA,AAA,AAA,BAA,ABA
AAA,CCC,AAA,AAA,AAA,AAA,AAA,BAA
AAA,CCC,AAA,AAA,AAB,AAB,AAA,AAA
AAA,CCC,AAA,AAA,ABB,ABB,AAA,AAA
AAA,CCC,AAA,AAA,BBB,BBB,AAA,AAA
AAA,CCC,AAA,AAA,BBA,BBB,AAA,AAA
AAA,CCC,AAA,AAA,BAB,BBB,AAA,AAA
AAA,CCC,AAA,AAA,ABA,BBB,AAA,AAA
AAA,CCC,AAA,AAA,BAA,BBB,AAA,AAA
AAB,CCC,AAA,AAB,AAA,BBC,AAB,AAA
ABB,CCC,AAB,ABB,AAB,BCC,ABB,AAB
BBB,CCC,ABB,BBB,ABB,CCC,BBB,ABB
BBC,CCC,BBC,BBC,BBB,CCC,BBB,BBB
BCC,CCC,BCC,BCC,BBB,CCC,BBC,BBB
CCC,CCC,CCC,CCC,BBB,CCB,BCC,BBB
CCC,CCC,CCC,CCC,BBB,CBB,CCC,BBC
CCC,CCC,CCC,CCC,BBB,BBA,CCC,BCC
CCC,CCC,CCB,CCC,BBA,BAA,CCC,CCC
CCC,CCC,CBC,CCC,BAA,AAA,CCC,CCC
CCC,CCC,BCC,CCC,AAA,AAA,CCC,CCC
CCC,CCC,CCC,CCC,AAA,AAB,CCC,CCC
CCC,CCC,CCC,CCC,AAB,ABB,CCC,CCC
CCC,CCC,CCC,CCC,ABC,BBC,CCC,CCC
CCC,CCC,CCC,CCC,BCC,BCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CCC,CCC,CCB,CCC,CCB,CCC,CCB
CCB,CCC,CCC,CBB,CCC,CBB,CCC,CBB
CBC,CCC,CCC,BBB,CCC,BBB,CCC,BBB
BCB,CCC,CCB,BBB,CCC,BBB,CCC,BBC
CBC,CCC,CBC,BBB,CCC,BBB,CCB,BCC
BCB,CCC,BCC,BBA,CCB,BBB,CBB,CCC
CBB,CCC,CCB,BAC,CBC,BBB,BBC,CCB
