sym0,sym1,sym2,sym3,sym4,sym5,sym6,sym7
R11,R12363,R53270,R116411,R23,R329516,R303,R960812
R11,R12363,R53270,R116411,R23,R329516,R303,R960812
R11,R12363,R53270,R116411,R23,R329516,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329516,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329516,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R303,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329515,R302,R960812
R11,R12363,R53270,R116411,R23,R329447,R312,R960812
R11,R12363,R53270,R116411,R23,R329516,R312,R960787
R11,R12363,R53271,R116412,R23,R375871,R312,R960787
R11,R12370,R53614,R116412,R23,R375871,R312,R960787
R11,R8218,R36759,R97812,R123,R429007,R311,R882066
R11,R8225,R37103,R97817,R123,R197047,R311,R882066
R11,R4137,R20290,R97842,R123,R195751,R311,R882066
R11,R4137,R20633,R97841,R123,R195751,R310,R884691
R11,R4144,R3777,R97866,R123,R250177,R210,R490966
R11,R48,R3778,R97866,R124,R250213,R210,R490971
R111,R56,R3778,R97866,R124,R250213,R210,R490971
R111,R56,R4121,R97866,R124,R250237,R210,R490971
R111,R56,R4122,R97871,R124,R250453,R210,R412846
R111,R56,R4122,R97871,R124,R250453,R210,R412846
R111,R56,R4122,R97866,R124,R250454,R220,R412846
R111,R56,R4122,R488491,R124,R250454,R220,R412846
R111,R48,R3778,R488491,R124,R203798,R220,R490841
R111,R4136,R20584,R488466,R123,R203798,R220,R881466
R111,R4137,R20290,R97841,R123,R197318,R220,R881466
R111,R4129,R20289,R97711,R123,R429302,R220,R882066
R111,R8225,R37103,R97711,R123,R430598,R220,R882066
R111,R8218,R37103,R100811,R123,R430598,R1221,R882066
R111,R8218,R36808,R100811,R123,R383948,R1231,R882061
R111,R8218,R36808,R100811,R123,R376172,R1231,R882061
R111,R8210,R36808,R100811,R123,R376171,R1231,R882061
R111,R8274,R36808,R116436,R123,R376172,R1231,R882061
R111,R8274,R53615,R116436,R123,R376171,R1331,R960811
R111,R8274,R53615,R116436,R123,R376172,R1331,R960811
R111,R12362,R53614,R116436,R123,R376139,R1331,R960811
R111,R12362,R53614,R116436,R123,R376171,R1331,R960812
R111,R12362,R53614,R116411,R123,R329515,R1331,R960812
