sym0,sym1,sym2,sym3,sym4,sym5,sym6,sym7
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R3,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R0,R0,R4
R0,R3,R3,R1,R1,R3,R0,R4
R0,R3,R3,R1,R1,R3,R0,R4
R0,R0,R3,R1,R1,R3,R0,R4
R0,R0,R0,R1,R1,R6,R0,R4
R0,R0,R0,R1,R1,R6,R0,R3
R0,R0,R0,R0,R1,R6,R0,R3
R0,R0,R0,R0,R1,R7,R0,R3
R0,R0,R0,R0,R1,R7,R0,R3
R0,R0,R0,R0,R1,R7,R0,R3
R0,R0,R0,R0,R1,R7,R0,R3
