0,1,2,3,4,5,6,7,8
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAC,AAA,AAB,AAA,AAC,AAA,AAC,AAA,AAC
ACC,AAA,ABA,AAA,ACC,AAA,ACC,AAC,ACC
CCC,AAA,BAA,AAA,CCC,AAA,CCC,ACC,CCC
CCC,AAB,AAB,AAA,CCC,AAC,CCC,CCC,CCC
CCC,ABB,ABB,AAA,CCC,ACC,CCC,CCB,CCB
CCC,BBB,BBB,AAA,CCC,CCC,CCC,CBA,CBB
CCC,BBB,BBB,AAA,CCC,CCC,CCC,BAC,BBB
CCC,BBA,BBB,AAA,CCC,CCC,CCC,ACB,BBB
CCC,BAB,BBB,AAB,CCC,CCB,CCC,CBB,BBA
CCC,ABA,BBB,ABB,CCC,CBB,CCC,BBB,BAA
CCC,BAB,BBB,BBB,CCC,BBA,CCC,BBC,AAA
CCC,ABB,BBB,BBB,CCC,BAC,CCC,BCC,AAA
CCC,BBB,BBA,BBB,CCC,ACA,CCC,CCC,AAA
CCC,BBC,BAB,BBB,CCC,CAC,CCC,CCC,AAB
CCC,BCC,ABB,BBB,CCC,ACB,CCC,CCC,ABB
CCC,CCC,BBC,BBB,CCC,CBC,CCC,CCC,BBB
CCC,CCC,BCC,BBB,CCC,BCB,CCC,CCC,BBB
CCC,CCC,CCC,BBB,CCC,CBC,CCC,CCB,BBC
CCC,CCC,CCB,BBB,CCC,BCB,CCC,CBB,BCC
CCC,CCB,CBB,BBB,CCC,CBB,CCC,BBA,CCB
CCC,CBB,BBC,BBB,CCC,BBB,CCC,BAA,CBB
CCC,BBB,BCC,BBB,CCC,BBA,CCC,AAA,BBC
CCC,BBB,CCC,BBB,CCC,BAA,CCC,AAB,BCC
CCC,BBB,CCC,BBB,CCC,AAC,CCC,ABA,CCC
CCC,BBB,CCC,BBB,CCC,ACC,CCC,BAA,CCC
CCC,BBB,CCB,BBB,CCC,CCA,CCC,AAC,CCB
CCC,BBB,CBB,BBA,CCC,CAC,CCC,ACB,CBB
CCC,BBC,BBC,BAB,CCC,ACC,CCC,CBB,BBB
CCC,BCB,BCC,ABB,CCC,CCC,CCC,BBB,BBA
CCC,CBA,CCC,BBB,CCC,CCA,CCC,BBB,BAB
CCC,BAC,CCC,BBB,CCC,CAB,CCC,BBB,ABB
CCC,ACC,CCB,BBB,CCC,ABB,CCC,BBB,BBB
CCC,CCB,CBB,BBB,CCC,BBA,CCC,BBC,BBA
CCC,CBC,BBC,BBB,CCC,BAB,CCC,BCC,BAB
CCC,BCB,BCB,BBB,CCC,ABB,CCC,CCB,ABB
CCC,CBC,CBB,BBB,CCC,BBC,CCC,CBB,BBA
CCC,BCC,BBA,BBB,CCC,BCB,CCC,BBA,BAB
CCC,CCA,BAA,BBC,CCC,CBA,CCC,BAA,ABC
CCC,CAA,AAA,BCB,CCC,BAA,CCC,AAC,BCC
CCC,AAA,AAA,CBC,CCC,AAA,CCC,ACC,CCC
CCC,AAA,AAA,BCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCC
CCC,AAA,AAA,CCC,CCC,AAA,CCC,CCC,CCB
CCC,AAB,AAB,CCC,CCC,AAA,CCC,CCC,CBB
CCB,ABB,ABB,CCB,CCC,AAA,CCC,CCC,BBB
CBC,BBB,BBB,CBA,CCC,AAB,CCC,CCB,BBB
BCC,BBB,BBB,BAA,CCC,ABB,CCC,CBB,BBB
CCC,BBB,BBB,AAA,CCC,BBC,CCC,BBB,BBB
CCC,BBB,BBC,AAA,CCC,BCC,CCC,BBB,BBA
CCC,BBC,BCC,AAB,CCC,CCC,CCC,BBA,BAA
CCC,BCC,CCC,ABB,CCC,CCC,CCC,BAA,AAA
CCC,CCC,CCC,BBA,CCC,CCC,CCC,AAA,AAA
CCC,CCC,CCC,BAA,CCC,CCC,CCC,AAA,AAA
CCC,CCC,CCC,AAA,CCC,CCC,CCC,AAB,AAA
