var,cluster
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/1,2
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/10,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/11,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/12,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/13,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/14,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/15,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/16,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/17,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/18,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/19,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/2,2
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/20,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/21,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/22,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/23,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/24,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/25,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/26,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/27,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/28,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/29,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/3,5
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/30,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/31,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/32,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/33,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/34,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/35,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/4,5
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/5,5
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/6,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/7,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/8,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_bandwidth_HundredGigE0/0/0/9,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/0,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/1,2
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/10,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/11,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/16,3
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/17,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/18,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/19,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/24,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/28,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/29,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/30,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/31,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/34,3
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/4,5
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/5,5
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/6,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/7,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/8,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-data-rate_HundredGigE0/0/0/9,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-load_HundredGigE0/0/0/0,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-load_HundredGigE0/0/0/1,2
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-load_HundredGigE0/0/0/30,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-load_HundredGigE0/0/0/31,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/0,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/1,2
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/10,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/11,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/16,3
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/17,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/18,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/19,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/20,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/24,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/28,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/29,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/30,0
Cisco-IOS-XR-infra-statsd-oper_infra-statistics_interfaces_interface_cache_data-rate_input-packet-rate_HundredGigE0/0/0/31,0
