sym0,sym1,sym2,sym3,sym4,sym5,sym6
R497903,R514062,R495482,R934,R113337,R39568,R210781
R497903,R510941,R479861,R934,R113337,R39568,R210781
R497928,R526561,R479861,R934,R113337,R39568,R210781
R497902,R526561,R479860,R934,R113337,R39568,R210781
R497927,R529686,R570486,R934,R500212,R39568,R195156
R497902,R451561,R571111,R934,R109462,R39568,R210781
R497908,R451560,R571111,R934,R109461,R39316,R210781
R494158,R514035,R571111,R924,R109431,R39316,R210781
R494158,R514040,R571111,R924,R563307,R39568,R210781
R478653,R514036,R571111,R924,R954061,R39568,R210781
R884908,R514036,R571111,R924,R563411,R39568,R226532
R869283,R514035,R574211,R924,R485287,R39316,R204657
R885533,R514035,R574211,R924,R485287,R39316,R204657
R885532,R514060,R574211,R924,R125787,R39316,R207756
R870533,R514060,R571081,R924,R125787,R39316,R210781
R867432,R514065,R571056,R924,R126292,R39316,R210806
R867432,R514065,R571061,R924,R126292,R39316,R210781
R867432,R513440,R558536,R924,R516287,R39316,R192157
R871032,R514066,R555436,R924,R503787,R39316,R208407
R867908,R514091,R555311,R924,R503781,R39323,R210781
R867908,R514086,R555312,R926,R501286,R39323,R210186
R864907,R904711,R555187,R926,R954411,R39323,R210806
R880558,R514086,R555187,R934,R863781,R39568,R210811
R880432,R589117,R555182,R926,R473156,R39568,R195186
R961697,R592238,R555187,R926,R863776,R39568,R583331
R1271057,R514113,R555187,R926,R863806,R39568,R583331
R1270306,R514114,R164562,R924,R882556,R39568,R585805
R1273431,R514114,R163912,R924,R507556,R39568,R198306
R1273432,R513963,R164532,R924,R491931,R39568,R195181
R1273457,R513964,R164532,R924,R883306,R39568,R195181
R1276458,R514093,R86407,R924,R488806,R39567,R210787
R1277083,R123464,R86407,R925,R488931,R39518,R210787
R1277053,R514089,R89512,R925,R880156,R39323,R585811
R883302,R510964,R89537,R925,R961406,R39322,R589061
R883302,R510964,R89537,R925,R883306,R39322,R210936
R883303,R510939,R86412,R824,R507686,R39518,R604686
R883427,R510934,R477037,R825,R507556,R39518,R604686
R1273427,R120314,R86288,R824,R585656,R39518,R601561
R1273427,R120314,R86287,R824,R508286,R39518,R210811
R1288928,R117188,R101912,R824,R551536,R39518,R210812
R1288328,R117188,R101287,R824,R551561,R39518,R588936
R1288428,R117187,R101287,R824,R552061,R39518,R585681
R1367053,R117183,R98162,R824,R476437,R39518,R585686
R1370303,R117182,R98162,R824,R476437,R39518,R195186
R1367178,R507808,R101292,R824,R476461,R39322,R195186
R1273328,R116558,R116917,R824,R476437,R39518,R585811
R1288308,R116558,R116918,R824,R476437,R39322,R567687
R1288957,R116558,R116918,R824,R476431,R39322,R570936
R1272707,R116532,R116912,R824,R85932,R39322,R567687
R1288207,R116402,R116913,R825,R85937,R39315,R176437
R1676457,R116432,R120037,R824,R85932,R39322,R176436
R1679581,R116403,R41912,R824,R89806,R39518,R177061
R1679456,R113283,R116913,R825,R89807,R39518,R177087
R1773921,R507028,R38783,R825,R492212,R39322,R567062
R1773930,R503903,R116883,R824,R492187,R39322,R567687
R1773305,R503903,R132508,R824,R492692,R39315,R176437
R1773930,R425778,R132633,R824,R492692,R39322,R192687
R1680181,R504507,R132633,R824,R570312,R39322,R192688
R1680306,R504507,R132633,R824,R492212,R39322,R192688
R1680181,R504527,R132633,R824,R492187,R39322,R192688
R1680177,R503877,R132633,R824,R473437,R39518,R192688
R1679677,R113281,R132658,R824,R97812,R39518,R192688
R1757802,R113281,R132663,R824,R97812,R39518,R192687
R1682682,R113281,R132663,R824,R473437,R39518,R192687
R1758307,R113281,R132688,R869,R631573,R170599,R192687
R1679551,R113281,R132688,R879,R2587798,R170844,R192562
R3729548,R2066406,R2082713,R888,R2197798,R187994,R2536411
R5604547,R2066406,R3942087,R888,R4066662,R188037,R4411411
R5589031,R4019536,R3941462,R886,R4067281,R188380,R4492661
R5120281,R4019531,R5894587,R896,R6020408,R204844,R6523286
R7070281,R5973161,R5894586,R796,R6047812,R205187,R7007561
R7070256,R5973156,R5894612,R795,R6047938,R205180,R6616941
R7070256,R5973286,R5894611,R795,R6048292,R205180,R8570042
R7072656,R7926411,R7847736,R795,R8000937,R205229,R8554412
R9025156,R7926406,R7847086,R795,R8000937,R205229,R8945066
R9040780,R7926411,R7846961,R795,R7922816,R221721,R8945041
R9040780,R7927036,R7846966,R795,R7922817,R222113,R8554416
R9025156,R7927036,R7846960,R795,R7923472,R222113,R8553791
R8631901,R7926407,R7847586,R795,R7926566,R222112,R8570167
R8631405,R7926436,R7847086,R795,R7926565,R222112,R8923187
R8631405,R7926436,R7847111,R795,R7926565,R224505,R8922557
R8615780,R7927056,R7847235,R795,R7926565,R227234,R8453782
R8635155,R7927061,R7847861,R795,R7926540,R227234,R8453782
R8635155,R7927061,R7847861,R795,R7926540,R227227,R8456886
R8635280,R7927186,R7847836,R795,R7910285,R347284,R8444406
R8634780,R7927161,R7847840,R795,R7910160,R346892,R8831906
R8631655,R8005311,R7863491,R795,R7910160,R342153,R8363881
R8647280,R8005316,R7863491,R795,R7914035,R342153,R8379381
R8647280,R8004686,R8257241,R795,R7898410,R342153,R8380131
R8650906,R8004687,R7866591,R795,R8289165,R342153,R8379531
R8635282,R8004562,R7866466,R794,R8289286,R342153,R8379536
R8713532,R8004562,R7850341,R795,R8289311,R344946,R8379536
R8619683,R7988936,R7847216,R793,R7910565,R342153,R8379510
R8619683,R7988936,R7847191,R793,R8004936,R339693,R8286510
R8619058,R7988941,R7850316,R784,R8004911,R339686,R8364301
R8615959,R7988940,R7850316,R751,R7926536,R339686,R7914156
R9025308,R7989060,R7850311,R751,R7926536,R326456,R7913905
R8612933,R7989090,R7850411,R742,R7929661,R307198,R7898285
R6675433,R6035965,R5897287,R742,R5898786,R290048,R6335761
R7065933,R6035965,R5912912,R733,R5977036,R289999,R4461506
R5112808,R4082221,R3959788,R733,R4005161,R174751,R4461511
R5190803,R4097871,R3959788,R733,R4383281,R174415,R2505262
R3234553,R2141616,R2022283,R725,R4382631,R157559,R2502787
R3250152,R2532242,R2412913,R725,R2445156,R157559,R2520937
R3250152,R2532242,R2412788,R726,R2460777,R157559,R2524062
R3328901,R578467,R2490913,R626,R2457127,R157559,R570937
R1375777,R500342,R537788,R626,R2472626,R157559,R567687
R1375776,R500342,R537788,R626,R2867151,R157216,R567687
R1375777,R484717,R537788,R626,R2882651,R274816,R567687
R969527,R875342,R537788,R626,R913902,R274816,R567812
R985152,R875337,R537788,R626,R899032,R257806,R551461
R969526,R875337,R537793,R626,R930307,R257812,R564588
R969527,R953462,R537669,R626,R914682,R257813,R567712
R581877,R953458,R537793,R624,R855308,R257812,R567087
R581902,R953458,R928418,R624,R933433,R257812,R189717
R566278,R953458,R928418,R625,R918532,R257812,R189712
R569403,R953462,R928417,R625,R918532,R257812,R189062
R569403,R953463,R928292,R625,R902277,R257812,R188937
R587554,R953462,R928412,R625,R511533,R257812,R567087
R568804,R953463,R928417,R625,R902183,R257763,R567212
R568804,R956583,R928412,R625,R902157,R257763,R551461
R588174,R956588,R912787,R625,R902157,R257763,R551486
R197554,R1347188,R915912,R625,R526682,R257805,R551486
R194428,R1347188,R916037,R625,R526552,R257763,R567236
R507028,R959713,R900411,R615,R523932,R257756,R567211
R116528,R1347843,R1291661,R615,R508282,R257763,R567211
R507154,R960463,R1291036,R615,R898432,R257763,R582836
R507029,R957338,R1291036,R625,R977187,R257763,R582836
R507153,R957337,R1290911,R625,R510812,R257763,R973461
R116527,R957337,R1290911,R625,R523432,R257763,R973466
R117028,R957337,R1290936,R668,R607043,R271330,R973441
