0,1,2,3,4,5,6,7
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAC,AAC,AAA,AAC,AAC,AAC,AAC,AAC
ACA,ACB,AAB,ACC,ACC,ACC,ACC,ACB
CAA,CBB,ABB,CCC,CCC,CCC,CCA,CBC
AAA,BBB,BBB,CCC,CCC,CCC,CAA,BCC
AAA,BBB,BBC,CCC,CCC,CCC,AAA,CCC
AAA,BBB,BCB,CCC,CCB,CCC,AAB,CCC
AAA,BBB,CBB,CCC,CBC,CCB,ABB,CCC
AAA,BBA,BBB,CCC,BCC,CBC,BBB,CCC
AAB,BAA,BBB,CCC,CCC,BCC,BBA,CCC
ABB,AAA,BBB,CCC,CCB,CCC,BAA,CCC
BBB,AAA,BBB,CCC,CBB,CCC,AAA,CCC
BBB,AAB,BBB,CCC,BBA,CCC,AAB,CCC
BBA,ABB,BBB,CCC,BAA,CCC,ABA,CCC
BAA,BBA,BBA,CCC,AAB,CCC,BAB,CCC
AAA,BAB,BAB,CCC,ABB,CCC,ABB,CCC
AAA,ABB,ABB,CCC,BBB,CCC,BBB,CCC
AAA,BBA,BBC,CCC,BBB,CCC,BBA,CCC
AAA,BAA,BCC,CCC,BBC,CCC,BAC,CCC
AAA,AAB,CCC,CCC,BCC,CCC,ACB,CCC
AAA,ABC,CCB,CCC,CCC,CCC,CBB,CCC
AAB,BCC,CBB,CCC,CCC,CCB,BBA,CCC
ABC,CCC,BBC,CCC,CCB,CBC,BAB,CCC
BCC,CCC,BCC,CCC,CBC,BCC,ABC,CCC
CCC,CCC,CCC,CCC,BCB,CCB,BCC,CCC
CCB,CCC,CCB,CCC,CBB,CBC,CCC,CCC
CBC,CCB,CBB,CCC,BBB,BCC,CCB,CCC
BCC,CBB,BBC,CCC,BBB,CCC,CBB,CCC
CCC,BBB,BCC,CCC,BBB,CCC,BBA,CCC
CCC,BBB,CCC,CCC,BBA,CCC,BAA,CCC
CCC,BBA,CCC,CCC,BAB,CCC,AAA,CCC
CCC,BAB,CCB,CCC,ABB,CCC,AAA,CCC
CCB,ABB,CBB,CCC,BBA,CCC,AAA,CCC
CBB,BBB,BBC,CCC,BAA,CCC,AAA,CCC
BBB,BBA,BCB,CCC,AAA,CCC,AAB,CCC
BBB,BAA,CBB,CCC,AAA,CCC,ABB,CCC
BBB,AAA,BBA,CCC,AAA,CCC,BBB,CCC
BBB,AAA,BAB,CCC,AAA,CCC,BBB,CCC
BBB,AAA,ABA,CCC,AAA,CCC,BBB,CCC
BBC,AAB,BAA,CCC,AAA,CCB,BBC,CCC
BCB,ABC,AAB,CCC,AAB,CBB,BCC,CCC
CBC,BCC,ABB,CCC,ABA,BBC,CCC,CCC
BCC,CCC,BBA,CCC,BAB,BCC,CCC,CCC
CCB,CCC,BAA,CCC,ABB,CCC,CCC,CCC
CBC,CCB,AAB,CCC,BBB,CCC,CCC,CCC
BCB,CBB,ABB,CCC,BBB,CCC,CCB,CCC
CBB,BBB,BBB,CCC,BBC,CCC,CBB,CCC
BBC,BBB,BBA,CCC,BCA,CCC,BBA,CCC
BCB,BBB,BAB,CCC,CAA,CCC,BAB,CCC
CBB,BBB,ABA,CCC,AAA,CCC,ABB,CCC
BBB,BBA,BAA,CCC,AAA,CCC,BBC,CCC
BBA,BAB,AAA,CCC,AAA,CCC,BCA,CCC
BAC,ABB,AAA,CCC,AAB,CCC,CAA,CCC
ACA,BBA,AAA,CCC,ABB,CCC,AAA,CCC
CAB,BAA,AAB,CCC,BBB,CCC,AAB,CCC
ABA,AAB,ABC,CCC,BBC,CCC,ABA,CCC
BAA,ABB,BCA,CCC,BCB,CCC,BAA,CCC
AAB,BBC,CAB,CCC,CBC,CCC,AAA,CCC
ABB,BCA,ABB,CCC,BCC,CCC,AAA,CCC
BBB,CAA,BBB,CCC,CCC,CCC,AAA,CCC
BBB,AAA,BBB,CCC,CCB,CCC,AAB,CCC
BBC,AAA,BBB,CCC,CBB,CCC,ABB,CCC
BCC,AAB,BBB,CCC,BBB,CCC,BBC,CCC
CCB,ABB,BBC,CCC,BBC,CCC,BCB,CCC
CBC,BBB,BCC,CCC,BCC,CCA,CBC,CCC
BCC,BBB,CCC,CCC,CCB,CAA,BCC,CCC
CCC,BBB,CCC,CCC,CBB,AAA,CCC,CCC
CCC,BBA,CCB,CCC,BBA,AAA,CCC,CCC
CCB,BAA,CBC,CCC,BAB,AAA,CCC,CCC
CBB,AAA,BCB,CCC,ABB,AAA,CCC,CCB
BBB,AAA,CBB,CCC,BBB,AAA,CCC,CBB
BBB,AAA,BBB,CCC,BBC,AAA,CCC,BBC
BBC,AAB,BBC,CCC,BCC,AAA,CCC,BCC
BCC,ABB,BCC,CCC,CCC,AAB,CCC,CCC
CCC,BBB,CCC,CCC,CCC,ABB,CCC,CCC
CCC,BBC,CCC,CCC,CCB,BBB,CCC,CCC
CCC,BCB,CCB,CCC,CBB,BBB,CCC,CCC
CCC,CBC,CBB,CCC,BBB,BBA,CCB,CCC
CCC,BCB,BBB,CCC,BBA,BAA,CBB,CCB
CCB,CBC,BBB,CCC,BAB,AAA,BBC,CBC
CBB,BCC,BBA,CCC,ABB,AAA,BCB,BCC
BBB,CCC,BAA,CCC,BBB,AAA,CBC,CCC
BBB,CCC,AAB,CCC,BBC,AAA,BCB,CCC
BBA,CCC,ABB,CCC,BCB,AAA,CBB,CCC
BAB,CCB,BBB,CCC,CBB,AAA,BBA,CCC
ABB,CBB,BBB,CCC,BBB,AAB,BAA,CCC
BBA,BBB,BBC,CCC,BBB,ABB,AAA,CCC
BAA,BBB,BCC,CCC,BBB,BBB,AAA,CCC
AAB,BBA,CCC,CCC,BBB,BBB,AAB,CCC
ABC,BAA,CCC,CCC,BBB,BBC,ABB,CCC
BCC,AAA,CCB,CCC,BBA,BCC,BBB,CCC
CCC,AAB,CBB,CCC,BAA,CCB,BBB,CCC
CCC,ABB,BBB,CCC,AAB,CBC,BBA,CCC
CCC,BBC,BBB,CCC,ABB,BCC,BAC,CCC
CCB,BCC,BBA,CCC,BBB,CCC,ACB,CCC
CBB,CCC,BAA,CCC,BBB,CCC,CBA,CCC
BBB,CCB,AAA,CCC,BBB,CCC,BAA,CCC
BBA,CBB,AAA,CCC,BBB,CCC,AAA,CCC
BAA,BBB,AAA,CCC,BBB,CCC,AAA,CCC
AAA,BBB,AAB,CCC,BBB,CCC,AAA,CCC
AAA,BBB,ABB,CCC,BBB,CCC,AAA,CCC
AAA,BBA,BBB,CCC,BBC,CCC,AAA,CCC
AAA,BAA,BBB,CCC,BCB,CCC,AAA,CCC
AAA,AAA,BBC,CCC,CBB,CCC,AAA,CCC
AAA,AAB,BCB,CCC,BBB,CCC,AAA,CCC
AAB,ABB,CBC,CCC,BBB,CCC,AAA,CCC
ABA,BBB,BCB,CCC,BBC,CCC,AAA,CCC
BAA,BBC,CBB,CCC,BCC,CCC,AAA,CCC
AAA,BCC,BBC,CCC,CCC,CCC,AAA,CCC
