0,1,2,3,4,5,6,7
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
AAA,AAC,AAA,AAC,AAA,AAC,AAA,AAB
AAA,ACB,AAB,ACC,AAA,ACC,AAA,ABC
AAA,CBB,ABB,CCC,AAA,CCC,AAA,BCC
AAA,BBB,BBC,CCC,AAA,CCC,AAA,CCC
AAA,BBB,BCC,CCC,AAA,CCC,AAC,CCC
AAB,BBB,CCC,CCC,AAA,CCC,ACC,CCC
ABB,BBB,CCB,CCC,AAA,CCC,CCC,CCC
BBB,BBB,CBB,CCC,AAA,CCC,CCB,CCC
BBB,BBA,BBB,CCC,AAC,CCC,CBA,CCC
BBB,BAA,BBB,CCC,ACB,CCC,BAA,CCC
BBB,AAB,BBA,CCC,CBB,CCC,AAA,CCC
BBB,ABB,BAA,CCC,BBB,CCC,AAA,CCC
BBB,BBB,AAB,CCC,BBB,CCC,AAA,CCC
BBA,BBA,ABB,CCC,BBB,CCC,AAB,CCC
BAB,BAA,BBB,CCC,BBB,CCC,ABB,CCC
ABA,AAA,BBC,CCC,BBB,CCC,BBB,CCC
BAA,AAA,BCB,CCC,BBB,CCC,BBA,CCC
AAA,AAA,CBB,CCC,BBC,CCC,BAB,CCC
AAA,AAA,BBB,CCC,BCC,CCC,ABB,CCC
AAA,AAB,BBB,CCC,CCC,CCC,BBA,CCC
AAB,ABB,BBB,CCC,CCC,CCC,BAA,CCC
ABB,BBB,BBB,CCC,CCB,CCC,AAA,CCC
BBB,BBB,BBC,CCC,CBB,CCC,AAB,CCC
BBB,BBB,BCC,CCC,BBB,CCC,ABB,CCC
BBB,BBC,CCC,CCC,BBA,CCC,BBB,CCC
BBC,BCC,CCC,CCC,BAA,CCC,BBB,CCC
BCC,CCB,CCC,CCC,AAA,CCC,BBB,CCC
CCC,CBB,CCC,CCC,AAB,CCC,BBB,CCC
CCC,BBC,CCC,CCC,ABA,CCC,BBB,CCC
CCC,BCB,CCC,CCC,BAB,CCC,BBB,CCC
CCB,CBB,CCB,CCC,ABB,CCC,BBA,CCC
CBB,BBB,CBB,CCC,BBB,CCC,BAA,CCC
BBB,BBB,BBB,CCC,BBB,CCC,AAA,CCC
BBB,BBB,BBA,CCC,BBB,CCC,AAB,CCC
BBB,BBB,BAA,CCC,BBB,CCC,ABB,CCC
BBB,BBA,AAA,CCC,BBB,CCC,BBB,CCC
BBB,BAA,AAA,CCC,BBB,CCC,BBB,CCC
BBB,AAA,AAA,CCC,BBB,CCC,BBB,CCC
BBB,AAA,AAA,CCC,BBA,CCC,BBB,CCC
BBB,AAB,AAB,CCC,BAA,CCC,BBC,CCC
BBA,ABB,ABB,CCC,AAA,CCC,BCC,CCC
BAA,BBC,BBA,CCC,AAB,CCC,CCC,CCC
AAA,BCC,BAA,CCC,ABC,CCC,CCB,CCC
AAB,CCC,AAB,CCC,BCB,CCC,CBB,CCC
ABA,CCB,ABB,CCC,CBB,CCC,BBB,CCC
BAA,CBB,BBB,CCC,BBB,CCC,BBB,CCC
AAB,BBB,BBB,CCC,BBB,CCC,BBB,CCC
ABA,BBB,BBB,CCC,BBB,CCC,BBB,CCC
BAA,BBB,BBA,CCC,BBA,CCC,BBA,CCC
AAB,BBA,BAA,CCC,BAA,CCC,BAB,CCC
ABA,BAA,AAB,CCC,AAB,CCC,ABA,CCC
BAB,AAA,ABB,CCC,ABB,CCC,BAB,CCC
ABA,AAB,BBA,CCC,BBB,CCC,ABB,CCC
BAB,ABB,BAB,CCC,BBB,CCC,BBA,CCC
ABB,BBC,ABC,CCC,BBB,CCC,BAA,CCC
BBA,BCC,BCB,CCC,BBB,CCC,AAA,CCC
BAA,CCC,CBC,CCC,BBB,CCC,AAA,CCC
AAB,CCB,BCB,CCC,BBB,CCC,AAA,CCC
ABC,CBB,CBB,CCC,BBB,CCC,AAB,CCC
BCB,BBB,BBB,CCC,BBB,CCC,ABC,CCC
CBB,BBB,BBA,CCC,BBB,CCC,BCC,CCC
BBB,BBA,BAB,CCC,BBA,CCC,CCC,CCC
BBB,BAB,ABB,CCC,BAA,CCC,CCB,CCC
BBC,ABB,BBC,CCC,AAC,CCC,CBC,CCC
BCC,BBC,BCC,CCC,ACB,CCC,BCC,CCC
CCC,BCC,CCC,CCC,CBC,CCC,CCC,CCC
CCC,CCC,CCC,CCC,BCC,CCC,CCC,CCC
CCC,CCB,CCC,CCC,CCC,CCC,CCC,CCC
CCC,CBB,CCB,CCC,CCC,CCC,CCC,CCC
CCB,BBB,CBB,CCC,CCC,CCC,CCC,CCC
CBB,BBB,BBB,CCC,CCC,CCC,CCC,CCC
BBB,BBB,BBB,CCC,CCC,CCC,CCC,CCC
BBC,BBB,BBA,CCC,CCC,CCC,CCC,CCC
BCC,BBC,BAB,CCC,CCC,CCC,CCC,CCC
CCB,BCC,ABC,CCC,CCB,CCC,CCC,CCC
CBC,CCC,BCB,CCC,CBB,CCC,CCC,CCC
BCC,CCA,CBB,CCC,BBB,CCC,CCB,CCC
CCB,CAA,BBB,CCC,BBA,CCC,CBB,CCC
CBB,AAB,BBB,CCC,BAB,CCC,BBB,CCC
BBB,ABB,BBB,CCC,ABB,CCC,BBB,CCC
BBA,BBC,BBB,CCC,BBB,CCC,BBA,CCC
BAC,BCB,BBC,CCC,BBC,CCC,BAA,CCC
ACB,CBC,BCA,CCC,BCB,CCC,AAB,CCC
CBC,BCB,CAA,CCC,CBB,CCC,ABB,CCC
BCC,CBB,AAB,CCC,BBC,CCC,BBC,CCC
CCB,BBB,ABC,CCC,BCC,CCC,BCB,CCC
CBB,BBB,BCC,CCC,CCC,CCC,CBB,CCC
BBB,BBB,CCB,CCC,CCB,CCC,BBC,CCC
BBC,BBB,CBB,CCC,CBB,CCC,BCB,CCC
BCC,BBB,BBB,CCC,BBB,CCC,CBB,CCC
CCC,BBA,BBB,CCC,BBA,CCC,BBB,CCC
CCB,BAB,BBB,CCC,BAB,CCC,BBA,CCC
CBB,ABB,BBB,CCC,ABB,CCC,BAC,CCC
BBB,BBC,BBA,CCC,BBB,CCC,ACA,CCC
BBB,BCC,BAA,CCC,BBA,CCC,CAA,CCC
BBA,CCC,AAA,CCC,BAB,CCC,AAA,CCC
BAB,CCB,AAA,CCC,ABB,CCC,AAA,CCC
ABA,CBB,AAB,CCC,BBB,CCC,AAA,CCC
BAA,BBB,ABC,CCC,BBB,CCC,AAA,CCC
AAA,BBB,BCC,CCC,BBC,CCC,AAA,CCC
AAA,BBA,CCC,CCC,BCB,CCC,AAA,CCC
AAA,BAA,CCC,CCC,CBA,CCC,AAA,CCC
AAA,AAA,CCC,CCC,BAA,CCC,AAA,CCC
AAA,AAA,CCB,CCC,AAA,CCC,AAA,CCC
AAA,AAA,CBB,CCC,AAA,CCC,AAA,CCC
AAA,AAB,BBB,CCC,AAB,CCC,AAA,CCC
AAA,ABB,BBB,CCC,ABB,CCC,AAA,CCC
AAA,BBC,BBB,CCC,BBC,CCC,AAA,CCC
